CIM10;Description;Requete 1;Requete 2;Requete 3
D17;T.B. LIPOMATEUSE;;;
D17.1;T.B. LIPOMATEUSE PEAU, TISSU /S-CUT. DU TRONC;;;
D17.2;T.B. LIPOMATEUSE PEAU, TISSU /S-CUT. DES Mb.;;;
D17.3;T.B. LIPOMATEUSE PEAU, TISSU /S-CUT., DE SIEGES NCA OU SAI;;;
D17.4;T.B. LIPOMATEUSE DES ORG. INTRATHOR.;;;
D17.5;T.B. LIPOMATEUSE DES ORG. INTRA-ABDO.;;;
D17.6;T.B. LIPOMATEUSE DU CORDON SPERMATIQUE;;;
D17.7;T.B. LIPOMATEUSE D'AUTRES SIEGES;;;
D17.9;T.B. LIPOMATEUSE, SAI;;;
D18;HEMANGIOME ET LYMPHANGIOME, TOUT SIEGE;8 MEMBRE REQUETE;;
D18.0;HEMANGIOME, TOUT SIEGE;8 MEMBRE REQUETE;;
D18.1;LYMPHANGIOME, TOUT SIEGE;;;
D19;T.B. DU TISSU MESOTHELIAL;;;
D19.0;T.B. DU TISSU MESOTHELIAL DE LA PLEVRE;;;
D19.1;T.B. DU TISSU MESOTHELIAL DU PERITOINE;;;
D19.7;T.B. DU TISSU MESOTHELIAL D'AUTRES SIEGES;;;
D19.9;T.B. DU TISSU MESOTHELIAL, SAI;;;
D20;T.B. DES TISSUS MOUS DU RETROPERITOINE ET DU PERITOINE;;;
D20.0;T.B. DU RETROPERITOINE;;;
D20.1;T.B. DU PERITOINE;;;
D21;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA;;;
D21.1;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA DU Mb. SUP., EPAULE;;;
D21.2;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA DU Mb. INF., HANCHE;;;
D21.3;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA DU THOR.;;;
D21.30;T.B. DES Vssx DU THORAX;;;
D21.38;T.B. DU TISSU CONJ. ET TISSUS MOUS NCA DU THORAX;;;
D21.4;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA DE L'ABDO.;;;
D21.40;T.B. DES Vssx DE L'ABDO.;;;
D21.48;T.B. DU TISSU CONJ. ET TISSUS MOUS NCA DE L'ABDO.;;;
D21.5;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA DU BASSIN;;;
D21.50;T.B. DES Vssx DU BASSIN;;;
D21.58;T.B. DU TISSU CONJ. ET TISSUS MOUS NCA, DU BASSIN;;;
D21.6;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA DU TRONC, SAI;;;
D21.9;T.B. DU TISSU CONJ. ET DES TISSUS MOUS NCA, DE SIEGE SAI;;;
D22;NAEVUS A MELANOCYTES;;;
D22.5;NAEVUS A MELANOCYTES DU TRONC;;;
D22.6;NAEVUS A MELANOCYTES DU Mb. SUP., Y COMPRIS L'EPAULE;;;
D22.7;NAEVUS A MELANOCYTES DU Mb. INF., Y COMPRIS LA HANCHE;;;
D22.9;NAEVUS A MELANOCYTES, SAI;;;
D23;T.B. DE LA PEAU, NCA;;;
D23.5;T.B. DE LA PEAU DU TRONC;;;
D23.6;T.B. DE LA PEAU DU Mb. SUP., Y COMPRIS L'EPAULE;;;
D23.7;T.B. DE LA PEAU DU Mb. INF., Y COMPRIS LA HANCHE;;;
D23.9;T.B. DE LA PEAU, SAI;;;
D25;LEIOMYOME DE L'UTERUS;;;
D25.0;LEIOMYOME SOUS-MUQ. DE L'UTERUS;;;
D25.1;LEIOMYOME INTRAMURAL DE L'UTERUS;;;
D25.2;LEIOMYOME SOUS-SEREUX DE L'UTERUS;;;
D25.9;LEIOMYOME DE L'UTERUS, SAI;;;
D26;T.B. DE L'UTERUS, NCA;;;
D26.0;T.B. DU COL DE L'UTERUS;;;
D26.1;T.B. DU CORPS DE L'UTERUS;;;
D26.7;T.B. D'AUTRES PARTIES DE L'UTERUS;;;
D26.9;T.B. DE L'UTERUS, SAI;;;
D27;T.B. DE L'OVAIRE;;;
D28;T.B. DES ORG. GEN. DE LA FEMME, NCA OU SAI;;;
D28.0;T.B. DE LA VULVE;;;
D28.1;T.B. DU VAGIN;;;
D28.2;T.B. DE LA TROMPE ET DES LIG. DE L'UTERUS;;;
D28.7;T.B. D'AUTRES ORG. GEN. DE LA FEMME PREC.;;;
D28.9;T.B. D'UN ORG. GEN. DE LA FEMME, SAI;;;
D29;T.B. DES ORG. GEN. DE L'HOMME;;;
D29.0;T.B. DE LA VERGE;;;
D29.1;T.B. DE LA PROSTATE;;;
D29.2;T.B. DU TESTICULE;;;
D29.3;T.B. DE L'EPIDIDYME;;;
D29.4;T.B. DU SCROTUM;;;
D29.7;T.B. D'AUTRES ORG. GEN. DE L'HOMME;;;
D29.9;T.B. D'UN ORG. GEN. DE L'HOMME, SAI;;;
D30;T.B. DES ORG. URIN.;;;
D30.0;T.B. DU REIN;;;
D30.1;T.B. DU BASSINET RENAL;;;
D30.2;T.B. DE L'URETERE;;;
D30.3;T.B. DE LA VESSIE;;;
D30.4;T.B. DE L'URETRE;;;
D30.7;T.B. D'AUTRES ORG. URIN.;;;
D30.9;T.B. D'UN ORG. URIN., SAI;;;
D32.1;T.B. DES MENINGES RACH.;;;
D32.9;T.B. DES MENINGES, SAI;;;
D33.4;T.B. DE LA MOELLE EP.;;;
D33.7;T.B. D'AUTRES PARTIES PREC. DU S.N.C.;;;
D33.9;T.B. DU SYST. NERV. CENTRAL, SAI;;;
D35;T.B. DES Gld. ENDOCRINES, NCA OU SAI;;;
D35.0;T.B. DE LA SURRENALE;;;
D35.7;T.B. D'AUTRES Gld. ENDOCRINES PREC.;;;
D35.8;T.B. DE PLUS. Gld. ENDOCRINES;;;
D35.9;T.B. D'UNE Gld. ENDOCRINE, SAI;;;
D36;T.B. DE SIEGES NCA OU SAI;;;
D36.0;T.B. DES Ggl. LYMPH.;;;
D36.1;T.B. DES NERFS PERIPH. ET DU SYST. NERV. AUTONOME;;;
D36.7;T.B. D'AUTRES SIEGES PREC.;;;
D36.9;T.B. DE SIEGE SAI;;;
D37.1;T. EV. IMPR., INC. DE L'ESTOMAC;;;
D37.2;T. EV. IMPR., INC. DE L'INTESTIN GRELE;;;
D37.3;T. EV. IMPR., INC. DE L'APPENDICE;;;
D37.4;T. EV. IMPR., INC. DU COLON;;;
D37.5;T. EV. IMPR., INC. DU RECTUM;;;
D37.6;T. EV. IMPR., INC. DU FOIE, DE LA VESICULE ET DES VOIES BIL.;;;
D37.7;T. EV. IMPR., INC. D'AUTRES ORG. DIG.;;;
D37.9;T. EV. IMPR., INC. DE L'APP. DIG., SAI;;;
D38;T. EV. IMPR., INC. OREILLE MOY. ET ORG. RESP. ET INTRATHOR.;;;
D38.1;T. EV. IMPR., INC. DE LA TRACHEE, DES BRONCHES ET DU POUMON;;;
D38.2;T. EV. IMPR., INC. DE LA PLEVRE;;;
D38.3;T. EV. IMPR., INC. DU MEDIASTIN;;;
D38.4;T. EV. IMPR., INC. DU THYMUS;;;
D38.5;T. EV. IMPR., INC. D'AUTRES ORG. RESP.;;;
D38.6;T. EV. IMPR., INC. DE L'APP. RESP., SAI;;;
D39;T. EV. IMPR., INC. DES ORG. GEN. DE LA FEMME;;;
D39.0;T. EV. IMPR., INC. DE L'UTERUS;;;
D39.1;T. EV. IMPR., INC. DE L'OVAIRE;;;
D39.2;T. EV. IMPR., INC. DU PLACENTA;;;
D39.7;T. EV. IMPR., INC. D'AUTRES ORG. GEN. DE LA FEMME;;;
D39.9;T. EV. IMPR., INC. D'UN ORG. GEN. DE LA FEMME, SAI;;;
D40;T. EV. IMPR., INC. DES ORG. GEN. DE L'HOMME;;;
D40.0;T. EV. IMPR., INC. DE LA PROSTATE;;;
D40.1;T. EV. IMPR., INC. DU TESTICULE;;;
D40.7;T. EV. IMPR., INC. D'AUTRES ORG. GEN. DE L'HOMME;;;
D40.9;T. EV. IMPR., INC. D'UN ORG. GEN. DE L'HOMME, SAI;;;
D41;T. EV. IMPR., INC. DES ORG. URIN.;;;
D41.0;T. EV. IMPR., INC. DU REIN;;;
D41.1;T. EV. IMPR., INC. DU BASSINET;;;
D41.2;T. EV. IMPR., INC. DE L'URETERE;;;
D41.3;T. EV. IMPR., INC. DE L'URETRE;;;
D41.4;T. EV. IMPR., INC. DE LA VESSIE;;;
D41.7;T. EV. IMPR., INC. D'AUTRES ORG. URIN.;;;
D41.9;T. EV. IMPR., INC. D'UN ORG. URIN., SAI;;;
D42;T. EV. IMPR., INC. DES MENINGES;;;
D42.1;T. EV. IMPR., INC. DES MENINGES RACH.;;;
D42.9;T. EV. IMPR., INC. DES MENINGES, SAI;;;
D43.4;T. EV. IMPR., INC. DE LA MOELLE EP.;;;
D43.7;T. EV. IMPR., INC. D'AUTRES PARTIES DU S.N.C.;;;
D43.9;T. EV. IMPR., INC. DU SYST. NERV. CENTRAL, SAI;;;
D44;T. EV. IMPR., INC. DES Gld. ENDOCRINES;;;
D44.1;T. EV. IMPR., INC. DE LA SURRENALE;;;
D44.8;T. EV. IMPR., INC. DE PLUS. Gld. ENDOCRINES;;;
D44.9;T. EV. IMPR., INC. D'UNE Gld. ENDOCRINE, SAI;;;
D45;POLYGLOBULIE ESSENTIELLE;;;
D46;SYND. MYELODYSPLASIQUES;;;
D46.0;ANEMIE REFRACTAIRE NON SIDEROBLASTIQUE, AINSI PREC.;;;
D46.1;ANEMIE REFRACTAIRE SIDEROBLASTIQUE;;;
D46.2;ANEMIE REFRACTAIRE AVEC EXCES DE BLASTES;;;
D46.3;ANEMIE REFRACTAIRE AVEC EXCES DE BLASTES EN TRANSFORM.;;;
D46.4;ANEMIE REFRACTAIRE, SAI;;;
D46.7;SYND. MYELODYSPLASIQUES, NCA;;;
D46.9;SYND. MYELODYSPLASIQUE, SAI;;;
D47;T. EV. IMPR., INC. DES TISSUS LYMPHOIDE, HEMATO. ET APPARENTES, NCA;;;
D47.0;T. EV. IMPR., INC. A HISTIOCYTES ET MASTOCYTES;;;
D47.1;MAL. MYELOPROLIFERATIVE;;;
D47.2;GAMMAPATHIE MONOCLONALE;;;
D47.3;THROMBOCYTEMIE ESSENTIELLE;;;
D47.7;T. EV. IMPR., INC. PREC. TISS. LYMPHOIDE, HEMATO. ET APPARENTES, NCA;;;
D47.9;T. EV. IMPR., INC. DES TISSUS LYMPHOIDE, HEMATO. ET APPARENTES, SAI;;;
D48;T. EV. IMPR., INC. DE SIEGES NCA OU SAI;;;
D48.0;T. EV. IMPR., INC. DES OS ET DU CARTILAGE ARTIC.;;;
D48.1;T. EV. IMPR., INC. DU TISSU CONJ. ET DES TISSUS MOUS NCA;;;
D48.2;T. EV. IMPR., INC. DES NERFS PERIPH. ET DU SYST. NERV. AUTONOME;;;
D48.3;T. EV. IMPR., INC. DU RETROPERITOINE;;;
D48.30;TERATOME SACRO-COCCYGIEN [DYSEMBRYOME];;;
D48.38;T. EV. IMPR., INC. DU RETROPERITOINE NCA ET SAI;;;
D48.4;T. EV. IMPR., INC. DU PERITOINE;;;
D48.5;T. EV. IMPR., INC. DE LA PEAU;;;
D48.7;T. EV. IMPR., INC. D'AUTRES SIEGES PREC.;;;
D48.9;T. EV. IMPR., INC. DE SIEGE SAI;;;
